cond,goal,mode,reason,success,t_ms,target,total_s,trial,type
C4_multimodal,B3,A,,,1765787731437,,,1,trial_start
,,,,,1765787731748,C3,,,hover
,,,,,1765787731815,None,,,hover
,,,,,1765787735169,C3,,,hover
,,,,,1765787735405,B3,,,hover
,,,,,1765787736513,C3,,,hover
,,,,,1765787737095,C2,,,hover
,,,,,1765787737481,B2,,,hover
,,,,,1765787737945,B1,,,hover
,,,,,1765787738525,B2,,,hover
,,,,,1765787738616,A2,,,hover
,,,,,1765787739031,A3,,,hover
,,,,,1765787739663,B3,,,hover
C4_multimodal,,,,,1765787740212,,,,click_ignored
,,,,,1765787740917,None,,,hover
,,,,,1765787741729,C3,,,hover
,,,,,1765787741763,B3,,,hover
C4_multimodal,,,,,1765787742075,,,,click_ignored
C4_multimodal,,,,,1765787742270,,,,click_ignored
C4_multimodal,,,,,1765787742441,,,,click_ignored
C4_multimodal,,,,,1765787742557,,,,click_ignored
C4_multimodal,,,,,1765787742718,,,,click_ignored
,,,manual_stop,False,1765787742993,,11.556,1,trial_end
